Locality,Locality_details,YYYY,MM,DD,DNA_extract,lat,lon,H6_str,HUC_8,HUC_10,HU_10_NAME,HU_8_Name,img_url,geometry
Van Duzen River,"7 mi E. of Hwy 36 on Van Dusen River Rd., 300m downstream from bridge",1994,7,14,NA,40.376699,-123.50614,180101,18010105,1801010507,NA,Lower Eel,NA,"c(-123.50614, 40.376699)"
Small stream in Shirt Tail Canyon,"along Shirt Tail Canyon Rd, .7 mi W. of jct. W. Yankee Jims Rd",1994,9,18,NA,39.04445788,-120.8993659,180201,18020128,1802012801,NA,North Fork American,NA,"c(-120.8993659, 39.04445788)"
Swimmer's Delight,Swimmer's Delight,2006,7,15,315,40.47422399,-123.9400251,180101,18010105,1801010509,NA,Lower Eel,NA,"c(-123.9400251, 40.47422399)"
Dinsmore,Dinsmore,2004,7,10,NA,40.4875864,-123.591766,180101,18010105,1801010507,NA,Lower Eel,NA,"c(-123.591766, 40.4875864)"
Wildhorse Creek,"Stebbins Cold Canyon: Wildhorse Creek, 1.24mi upstream of Cold Creek confluence",2012,7,12,NA,38.48616,-122.0866,180201,18020162,1802016205,NA,Upper Putah,NA,"c(-122.0866, 38.48616)"
Wildhorse Creek,"Stebbins Cold Canyon: Wildhorse Creek, 1.24mi upstream of Cold Creek confluence",2012,7,12,378,38.48599,-122.0865,180201,18020162,1802016205,NA,Upper Putah,NA,"c(-122.0865, 38.48599)"
Cold Creek,"Stebbins Cold Canyon Reserve: Cold Creek, 120m downstream of Wildhorse Creek confluence",2012,7,13,370,38.49829,-122.09877,180201,18020162,1802016205,NA,Upper Putah,NA,"c(-122.09877, 38.49829)"
Hunting Creek,"Sensitive Plant Canyon, at confluence w/ Hunting Creek",2011,8,15,391,38.80166,-122.87934,180101,18010110,1801011003,NA,Russian,NA,"c(-122.87934, 38.80166)"
East Branch Soquel Creek,"East Branch Soquel Creek, approx. 200m downstream from Amaya Crk and approximately 50m upstream of Amaya Crk, Soquel Demonstration State Forest (CDF)",2003,7,22,119,37.073,-121.927,180600,18060001,1806000103,NA,San Lorenzo-Soquel,NA,"c(-121.927, 37.073)"
North Fork Trinity River,North Fork Trinity River,2007,8,16,NA,40.77712814,-123.1317545,180102,18010211,1801021109,NA,Trinity,NA,"c(-123.1317545, 40.77712814)"
Redwood Creek,Redwood Creek,2007,11,3,236,41.29933818,-124.0429943,180101,18010102,1801010201,NA,Mad-Redwood,NA,"c(-124.0429943, 41.29933818)"
Aiken Creek,Aiken Creek,2007,8,18,NA,41.22841534,-123.6523625,180102,18010209,1801020908,NA,Lower Klamath,NA,"c(-123.6523625, 41.22841534)"
Tish Tang,Tish Tang,2004,8,14,NA,41.02207631,-123.6350975,180102,18010211,1801021112,NA,Trinity,NA,"c(-123.6350975, 41.02207631)"
Maple Creek,Maple Creek,2004,8,16,NA,40.78112534,-123.8777594,180101,18010102,1801010204,NA,Mad-Redwood,NA,"c(-123.8777594, 40.78112534)"
Eel River,Eel River,2004,8,29,NA,40.21517973,-123.6302984,180101,18010105,1801010504,NA,Lower Eel,NA,"c(-123.6302984, 40.21517973)"
Mattole River,Mattole River,2004,10,10,NA,40.31407987,-124.2830167,180101,18010107,1801010702,NA,Mattole,NA,"c(-124.2830167, 40.31407987)"
